,Unnamed: 0,title,lyrics,words,lyrics_length,artists,date,rank,cnt
0,0,I Feel Fine,"[Verse 1: John Lennon]
Baby's good to me, you know
She's happy as can be, you know
She said so

[Refrain: John Lennon, Paul McCartney & George Harrison]
I'm in love with her and I feel fine

[Verse 2: John Lennon]
Baby says she's mine, you know
She tells me all the time, you know
She said so

[Refrain: John Lennon, Paul McCartney & George Harrison]
I'm in love with her and I feel fine

[Bridge: John Lennon, Paul McCartney & George Harrison]
I'm so glad that she's my little girl
She's so glad, she's telling all the world

[Verse 3: John Lennon]
That her baby buys her things, you know
He buys her diamond rings, you know
She said so

[Refrain: John Lennon, Paul McCartney & George Harrison]
She's in love with me and I feel fine, mmm

[Guitar Solo: George Harrison]

[Verse 4: John Lennon]
Baby says she's mine, you know
She tells me all the time, you know
She said so

[Chorus: John Lennon, Paul McCartney & George Harrison]
I'm in love with her and I feel fine

[Bridge: John Lennon, Paul McCartney & George Harrison]
I'm so glad that she's my little girl
She's so glad, she's telling all the world

[Verse 5: John Lennon]
That her baby buys her things, you know
He buys her diamond rings, you know
She said so

[Refrain: John Lennon, Paul McCartney & George Harrison]
She's in love with me and I feel fine
She's in love with me and I feel fine, mmm","['baby', 'good', 'to', 'me', 'you', 'know', 'shes', 'happy', 'as', 'can', 'be', 'you', 'know', 'she', 'say', 'so', 'im', 'in', 'love', 'with', 'her', 'and', 'i', 'feel', 'fine', 'baby', 'say', 'shes', 'mine', 'you', 'know', 'she', 'tell', 'me', 'all', 'the', 'time', 'you', 'know', 'she', 'say', 'so', 'im', 'in', 'love', 'with', 'her', 'and', 'i', 'feel', 'fine', 'im', 'so', 'glad', 'that', 'shes', 'my', 'little', 'girl', 'shes', 'so', 'glad', 'shes', 'tell', 'all', 'the', 'world', 'that', 'her', 'baby', 'buy', 'her', 'things', 'you', 'know', 'he', 'buy', 'her', 'diamond', 'ring', 'you', 'know', 'she', 'say', 'so', 'shes', 'in', 'love', 'with', 'me', 'and', 'i', 'feel', 'fine', 'mmm', 'baby', 'say', 'shes', 'mine', 'you', 'know', 'she', 'tell', 'me', 'all', 'the', 'time', 'you', 'know', 'she', 'say', 'so', 'im', 'in', 'love', 'with', 'her', 'and', 'i', 'feel', 'fine', 'im', 'so', 'glad', 'that', 'shes', 'my', 'little', 'girl', 'shes', 'so', 'glad', 'shes', 'tell', 'all', 'the', 'world', 'that', 'her', 'baby', 'buy', 'her', 'things', 'you', 'know', 'he', 'buy', 'her', 'diamond', 'ring', 'you', 'know', 'she', 'say', 'so', 'shes', 'in', 'love', 'with', 'me', 'and', 'i', 'feel', 'fine', 'shes', 'in', 'love', 'with', 'me', 'and', 'i', 'feel', 'fine', 'mmm']",174,The Beatles,1964,"[1, 2, 5, 22]",4
1,1,Come See About Me,"[Verse 1]
Come, come see what I've been up to
Come, come see about me
I know you had a lot of work to do
Ooh, you got used to things without me, baby
Yeah, you got used to every thing I never did
You got sick of being sick of all my flaws
You got over all the pain I ever caused
And I didn't mean it, no, but-

[Pre-Chorus]
They say it's all what you make it
Maybe it's all in the making
Love's always love, you can't fake it
So please don't try to deny me of that, no
You know my heart couldn't take it
Maybe it's all in the making
Love's always love, you can't fake it
See, baby, ooh you know I need you to-

[Chorus]
Come, come see about me
Come, come see about me
Know it can't always be about me
Just come, come see about me
Come, come see about me
I'm doing good, boy, I'm up where we belong at
You know I'm still trying to find where we went wrong at
So come, come see about me
Come, come see about me
Come, come, come see about me
It won't hurt just to see what we could be
So come see about me, yeah

[Verse 2]
Want you to see how much I changed up
Ooh, I just hope I'm not too late
I know you're hesitant about it, but-
I got a lot I wanna say to you
Hate that I could never measure up
Hate that I could never be the one you needed
'Cause now I'm the one who needs you, but, baby-

[Pre-Chorus]
They say it's all what you make it
Maybe it's all in the making
Love's always love, you can’t fake it
So please don't try to deny me of that, no
You know my heart couldn't take it
Maybe it's all in the making
Love's always love, you can't fake it
See, baby, ooh you know I need you to-

[Chorus]
Come, come see about me
Come, come see about me
Know it can't always be about me
Just come, come see about me (Right here)
Come, come see about me (Right here)
I'm doing good, boy, I'm up where we belong at
You know I'm still trying to find where we went wrong at
So come, come see about me
Come, come see about me
Come, come, come see about me
It won't hurt just to see what we could be
So come see about me, yeah

[Bridge]
About me, about me, about me, about me
About me, about me, about me, about me
About me, about me, about me, about me
About me, about me. about me, about me

[Chorus]
Come, come see about me
Come, come see about me
Know it can't always be about me
Just come, come see about me
Come, come see about me
I'm doing good, boy, I'm up where we belong at
You know I'm still trying to find where we went wrong at
So come, come see about me
Come, come see about me
Come, come, come see about me
It won't hurt just to see what we could be
So come see about me, yeah","['come', 'come', 'see', 'what', 'ive', 'be', 'up', 'to', 'come', 'come', 'see', 'about', 'me', 'i', 'know', 'you', 'have', 'a', 'lot', 'of', 'work', 'to', 'do', 'ooh', 'you', 'get', 'use', 'to', 'things', 'without', 'me', 'baby', 'yeah', 'you', 'get', 'use', 'to', 'every', 'thing', 'i', 'never', 'do', 'you', 'get', 'sick', 'of', 'be', 'sick', 'of', 'all', 'my', 'flaw', 'you', 'get', 'over', 'all', 'the', 'pain', 'i', 'ever', 'cause', 'and', 'i', 'didnt', 'mean', 'it', 'no', 'but', 'they', 'say', 'its', 'all', 'what', 'you', 'make', 'it', 'maybe', 'its', 'all', 'in', 'the', 'make', 'love', 'always', 'love', 'you', 'cant', 'fake', 'it', 'so', 'please', 'dont', 'try', 'to', 'deny', 'me', 'of', 'that', 'no', 'you', 'know', 'my', 'heart', 'couldnt', 'take', 'it', 'maybe', 'its', 'all', 'in', 'the', 'make', 'love', 'always', 'love', 'you', 'cant', 'fake', 'it', 'see', 'baby', 'ooh', 'you', 'know', 'i', 'need', 'you', 'to', 'come', 'come', 'see', 'about', 'me', 'come', 'come', 'see', 'about', 'me', 'know', 'it', 'cant', 'always', 'be', 'about', 'me', 'just', 'come', 'come', 'see', 'about', 'me', 'come', 'come', 'see', 'about', 'me', 'im', 'do', 'good', 'boy', 'im', 'up', 'where', 'we', 'belong', 'at', 'you', 'know', 'im', 'still', 'try', 'to', 'find', 'where', 'we', 'go', 'wrong', 'at', 'so', 'come', 'come', 'see', 'about', 'me', 'come', 'come', 'see', 'about', 'me', 'come', 'come', 'come', 'see', 'about', 'me', 'it', 'wont', 'hurt', 'just', 'to', 'see', 'what', 'we', 'could', 'be', 'so', 'come', 'see', 'about', 'me', 'yeah', 'want', 'you', 'to', 'see', 'how', 'much', 'i', 'change', 'up', 'ooh', 'i', 'just', 'hope', 'im', 'not', 'too', 'late', 'i', 'know', 'youre', 'hesitant', 'about', 'it', 'but', 'i', 'get', 'a', 'lot', 'i', 'wanna', 'say', 'to', 'you', 'hate', 'that', 'i', 'could', 'never', 'measure', 'up', 'hate', 'that', 'i', 'could', 'never', 'be', 'the', 'one', 'you', 'need', 'cause', 'now', 'im', 'the', 'one', 'who', 'need', 'you', 'but', 'baby', 'they', 'say', 'its', 'all', 'what', 'you', 'make', 'it', 'maybe', 'its', 'all', 'in', 'the', 'make', 'love', 'always', 'love', 'you', 'can’t', 'fake', 'it', 'so', 'please', 'dont', 'try', 'to', 'deny', 'me', 'of', 'that', 'no', 'you', 'know', 'my', 'heart', 'couldnt', 'take', 'it', 'maybe', 'its', 'all', 'in', 'the', 'make', 'love', 'always', 'love', 'you', 'cant', 'fake', 'it', 'see', 'baby', 'ooh', 'you', 'know', 'i', 'need', 'you', 'to', 'come', 'come', 'see', 'about', 'me', 'come', 'come', 'see', 'about', 'me', 'know', 'it', 'cant', 'always', 'be', 'about', 'me', 'im', 'do', 'good', 'boy', 'im', 'up', 'where', 'we', 'belong', 'at', 'you', 'know', 'im', 'still', 'try', 'to', 'find', 'where', 'we', 'go', 'wrong', 'at', 'so', 'come', 'come', 'see', 'about', 'me', 'come', 'come', 'see', 'about', 'me', 'come', 'come', 'come', 'see', 'about', 'me', 'it', 'wont', 'hurt', 'just', 'to', 'see', 'what', 'we', 'could', 'be', 'so', 'come', 'see', 'about', 'me', 'yeah', 'about', 'me', 'about', 'me', 'about', 'me', 'about', 'me', 'about', 'me', 'about', 'me', 'about', 'me', 'about', 'me', 'about', 'me', 'about', 'me', 'about', 'me', 'about', 'me', 'about', 'me', 'about', 'me', 'about', 'me', 'about', 'me', 'come', 'come', 'see', 'about', 'me', 'come', 'come', 'see', 'about', 'me', 'know', 'it', 'cant', 'always', 'be', 'about', 'me', 'just', 'come', 'come', 'see', 'about', 'me', 'come', 'come', 'see', 'about', 'me', 'im', 'do', 'good', 'boy', 'im', 'up', 'where', 'we', 'belong', 'at', 'you', 'know', 'im', 'still', 'try', 'to', 'find', 'where', 'we', 'go', 'wrong', 'at', 'so', 'come', 'come', 'see', 'about', 'me', 'come', 'come', 'see', 'about', 'me', 'come', 'come', 'come', 'see', 'about', 'me', 'it', 'wont', 'hurt', 'just', 'to', 'see', 'what', 'we', 'could', 'be', 'so', 'come', 'see', 'about', 'me', 'yeah']",518,Nicki Minaj,1964,"[2, 1, 4, 8, 13, 74, 31, 84, 66, 87]",10
2,2,Mr. Lonely,"[Verse 1]
Lonely, I'm Mr. Lonely
I have nobody for my own
I am so lonely, I'm Mr. Lonely
Wish I had someone to call on the phone

[Chorus]
Now I'm a soldier, a lonely soldier
Away from home through no wish of my own
That's why I'm lonely, I'm Mr. Lonely
I wish that I could go back home

[Verse 2]
Letters, never a letter
I get no letters in the mail
I've been forgotten, yes, forgotten
Oh, how I wonder, how is it I failed

[Chorus]
Now I'm a soldier, a lonely soldier
Away from home through no wish of my own
That's why I'm lonely, I'm Mr. Lonely
I wish that I could go back home","['lonely', 'im', 'mr', 'lonely', 'i', 'have', 'nobody', 'for', 'my', 'own', 'i', 'be', 'so', 'lonely', 'im', 'mr', 'lonely', 'wish', 'i', 'have', 'someone', 'to', 'call', 'on', 'the', 'phone', 'now', 'im', 'a', 'soldier', 'a', 'lonely', 'soldier', 'away', 'from', 'home', 'through', 'no', 'wish', 'of', 'my', 'own', 'thats', 'why', 'im', 'lonely', 'im', 'mr', 'lonely', 'i', 'wish', 'that', 'i', 'could', 'go', 'back', 'home', 'letter', 'never', 'a', 'letter', 'i', 'get', 'no', 'letter', 'in', 'the', 'mail', 'ive', 'be', 'forget', 'yes', 'forget', 'oh', 'how', 'i', 'wonder', 'how', 'be', 'it', 'i', 'fail', 'now', 'im', 'a', 'soldier', 'a', 'lonely', 'soldier', 'away', 'from', 'home', 'through', 'no', 'wish', 'of', 'my', 'own', 'thats', 'why', 'im', 'lonely', 'im', 'mr', 'lonely', 'i', 'wish', 'that', 'i', 'could', 'go', 'back', 'home']",113,Bobby Vinton,1964,"[3, 3, 1, 2, 6, 11, 21, 35, 70]",9
3,3,She's A Woman,"[Verse 1]
My love don't give me presents
I know that she's no peasant
Only ever has to give me
Love forever and forever
My love don't give me presents
Turn me on when I get lonely
People tell me that she's only
Fooling, I know she isn't

[Verse 2]
She don't give the boys the eye
She hates to see me cry
She is happy just to hear me say
That I will never leave her
She don't give boys the eye
She will never make me jealous
Gives me all her time as well as
Loving, don't ask me why

[Bridge]
She's a woman who understands
She's a woman who loves her man

[Verse 1]
My love don't give me presents
I know that she's no peasant
Only ever has to give me
Love forever and forever
My love don't give me presents
Turn me on when I get lonely
People tell me that she's only
Fooling, I know she isn't

[Guitar solo]

[Bridge]
She's a woman who understands
She's a woman who loves her man

[Verse 1]
My love don't give me presents
I know that she's no peasant
Only ever has to give me
Love forever and forever
My love don't give me presents
Turn me on when I get lonely
People tell me that she's only
Fooling, I know she isn't

[Outro]
She's a woman
She's a woman
She's a woman
She's a woman
She's a woman","['my', 'love', 'dont', 'give', 'me', 'present', 'i', 'know', 'that', 'shes', 'no', 'peasant', 'only', 'ever', 'have', 'to', 'give', 'me', 'love', 'forever', 'and', 'forever', 'my', 'love', 'dont', 'give', 'me', 'present', 'turn', 'me', 'on', 'when', 'i', 'get', 'lonely', 'people', 'tell', 'me', 'that', 'shes', 'only', 'fool', 'i', 'know', 'she', 'isnt', 'she', 'dont', 'give', 'the', 'boys', 'the', 'eye', 'she', 'hat', 'to', 'see', 'me', 'cry', 'she', 'be', 'happy', 'just', 'to', 'hear', 'me', 'say', 'that', 'i', 'will', 'never', 'leave', 'her', 'she', 'dont', 'give', 'boys', 'the', 'eye', 'she', 'will', 'never', 'make', 'me', 'jealous', 'give', 'me', 'all', 'her', 'time', 'as', 'well', 'as', 'love', 'dont', 'ask', 'me', 'why', 'shes', 'a', 'woman', 'who', 'understand', 'shes', 'a', 'woman', 'who', 'love', 'her', 'man', 'my', 'love', 'dont', 'give', 'me', 'present', 'i', 'know', 'that', 'shes', 'no', 'peasant', 'only', 'ever', 'have', 'to', 'give', 'me', 'love', 'forever', 'and', 'forever', 'my', 'love', 'dont', 'give', 'me', 'present', 'turn', 'me', 'on', 'when', 'i', 'get', 'lonely', 'people', 'tell', 'me', 'that', 'shes', 'only', 'fool', 'i', 'know', 'she', 'isnt', 'shes', 'a', 'woman', 'who', 'understand', 'shes', 'a', 'woman', 'who', 'love', 'her', 'man', 'my', 'love', 'dont', 'give', 'me', 'present', 'i', 'know', 'that', 'shes', 'no', 'peasant', 'only', 'ever', 'have', 'to', 'give', 'me', 'love', 'forever', 'and', 'forever', 'my', 'love', 'dont', 'give', 'me', 'present', 'turn', 'me', 'on', 'when', 'i', 'get', 'lonely', 'people', 'tell', 'me', 'that', 'shes', 'only', 'fool', 'i', 'know', 'she', 'isnt', 'shes', 'a', 'woman', 'shes', 'a', 'woman', 'shes', 'a', 'woman', 'shes', 'a', 'woman', 'shes', 'a', 'woman']",229,The Beatles,1964,"[4, 14, 29, 46]",4
4,4,She's Not There,"[Verse 1]
Well no one told me about her
The way she lied
Well no one told me about her
How many people cried

[Pre-Chorus]
But it's too late to say you're sorry
How would I know why should I care?
Please don't bother trying to find her
She's not there!

[Chorus]
Well let me tell you 'bout the way she looked
The way she'd acted, the color of her hair
Her voice was soft and cool
Her eyes were clear and bright
But she's not there

[Verse 2]
Well no one told me about her
What could I do?
Well no one told me about her
Though they all knew

[Pre-Chorus]
But it's too late to say you're sorry
How would I know, why should I care?
Please don't bother trying to find her
She's not there!

[Chorus]
Well let me tell you 'bout the way she looked
The way she'd acted, the color of her hair
Her voice was soft and cool
Her eyes were clear and bright
But she's not there

[Bridge]

[Pre-Chorus]
But it's too late to say you're sorry
How would I know, why should I care?
Please don't bother trying to find her
She's not there!

[Chorus]
Well let me tell you 'bout the way she looked
The way she'd acted, the color of her hair
Her voice was soft and cool
Her eyes were clear and bright
But she's not there","['well', 'no', 'one', 'tell', 'me', 'about', 'her', 'the', 'way', 'she', 'lie', 'well', 'no', 'one', 'tell', 'me', 'about', 'her', 'how', 'many', 'people', 'cry', 'but', 'its', 'too', 'late', 'to', 'say', 'youre', 'sorry', 'how', 'would', 'i', 'know', 'why', 'should', 'i', 'care', 'please', 'dont', 'bother', 'try', 'to', 'find', 'her', 'shes', 'not', 'there', 'well', 'let', 'me', 'tell', 'you', 'bout', 'the', 'way', 'she', 'look', 'the', 'way', 'shed', 'act', 'the', 'color', 'of', 'her', 'hair', 'her', 'voice', 'be', 'soft', 'and', 'cool', 'her', 'eye', 'be', 'clear', 'and', 'bright', 'but', 'shes', 'not', 'there', 'well', 'no', 'one', 'tell', 'me', 'about', 'her', 'what', 'could', 'i', 'do', 'well', 'no', 'one', 'tell', 'me', 'about', 'her', 'though', 'they', 'all', 'know', 'but', 'its', 'too', 'late', 'to', 'say', 'youre', 'sorry', 'how', 'would', 'i', 'know', 'why', 'should', 'i', 'care', 'please', 'dont', 'bother', 'try', 'to', 'find', 'her', 'shes', 'not', 'there', 'well', 'let', 'me', 'tell', 'you', 'bout', 'the', 'way', 'she', 'look', 'the', 'way', 'shed', 'act', 'the', 'color', 'of', 'her', 'hair', 'her', 'voice', 'be', 'soft', 'and', 'cool', 'her', 'eye', 'be', 'clear', 'and', 'bright', 'but', 'shes', 'not', 'there', 'but', 'its', 'too', 'late', 'to', 'say', 'youre', 'sorry', 'how', 'would', 'i', 'know', 'why', 'should', 'i', 'care', 'please', 'dont', 'bother', 'try', 'to', 'find', 'her', 'shes', 'not', 'there', 'well', 'let', 'me', 'tell', 'you', 'bout', 'the', 'way', 'she', 'look', 'the', 'way', 'shed', 'act', 'the', 'color', 'of', 'her', 'hair', 'her', 'voice', 'be', 'soft', 'and', 'cool', 'her', 'eye', 'be', 'clear', 'and', 'bright', 'but', 'shes', 'not', 'there']",227,The Zombies,1964,"[5, 4, 2, 4, 4, 5, 9, 22, 45, 61, 87]",11
5,5,Goin' Out Of My Head,"Well, I think I'm going out of my head
Yes, I think I'm going out of my head
Over you
Over you
I want you to want me, I need you so badly
I can't think of anything but you

And I think I'm going out of my head
Yes, I think I'm going out of my head
Over you
Over you

I see you each morning
But you just walk past me
You don't even know that I exist

Goin' out of my head over you
Out of my head over you
Out of my head day and night
Night and day and night
Wrong or right

I must think of a way
Into your heart
There's no reason why
My being shy
Should keep us apart
And I think I'm going out of my head
Yes, I think I'm going out of my head

Goin' out of my head over you
Out of my head over you
Out of my head day and night
Night and day and night
Wrong or right
Night and day and night
Wrong or right
Day or night
Everyday, every, every day","['well', 'i', 'think', 'im', 'go', 'out', 'of', 'my', 'head', 'yes', 'i', 'think', 'im', 'go', 'out', 'of', 'my', 'head', 'over', 'you', 'over', 'you', 'i', 'want', 'you', 'to', 'want', 'me', 'i', 'need', 'you', 'so', 'badly', 'i', 'cant', 'think', 'of', 'anything', 'but', 'you', 'and', 'i', 'think', 'im', 'go', 'out', 'of', 'my', 'head', 'yes', 'i', 'think', 'im', 'go', 'out', 'of', 'my', 'head', 'over', 'you', 'over', 'you', 'i', 'see', 'you', 'each', 'morning', 'but', 'you', 'just', 'walk', 'past', 'me', 'you', 'dont', 'even', 'know', 'that', 'i', 'exist', 'goin', 'out', 'of', 'my', 'head', 'over', 'you', 'out', 'of', 'my', 'head', 'over', 'you', 'out', 'of', 'my', 'head', 'day', 'and', 'night', 'night', 'and', 'day', 'and', 'night', 'wrong', 'or', 'right', 'i', 'must', 'think', 'of', 'a', 'way', 'into', 'your', 'heart', 'theres', 'no', 'reason', 'why', 'my', 'be', 'shy', 'should', 'keep', 'us', 'apart', 'and', 'i', 'think', 'im', 'go', 'out', 'of', 'my', 'head', 'yes', 'i', 'think', 'im', 'go', 'out', 'of', 'my', 'head', 'goin', 'out', 'of', 'my', 'head', 'over', 'you', 'out', 'of', 'my', 'head', 'over', 'you', 'out', 'of', 'my', 'head', 'day', 'and', 'night', 'night', 'and', 'day', 'and', 'night', 'wrong', 'or', 'right', 'night', 'and', 'day', 'and', 'night', 'wrong', 'or', 'right', 'day', 'or', 'night', 'everyday', 'every', 'every', 'day']",189,Little Anthony & The Imperials,1964,"[6, 7, 14, 17, 24, 36, 56, 75]",8
6,6,Ringo,"[Strofa 1]
A volte penso che a quelli come me
Il mondo non abbia mai voluto bene
Il cerchio della vita impone che per
Un Re Leone vivano almeno tre iene
Gli amici ormai si sposano alla mia età
Ed io mi incazzo se non indovino all'Eredità
Forse dovrei partire, andarmene via di qua
E cambiare la mia vita in toto tipo andando in Africa

[Pre-Ritornello]
Ma questa sera ho solo voglia di ballare
Di perdere la testa e non pensare più
Che la mia vita non è niente di speciale
E forse alla fine c'hai ragione tu

[Ritornello]
In un mondo di John e di Paul io sono Ringo Starr
In un mondo di John e di Paul io sono Ringo Starr
In un mondo di John e di Paul io sono Ringo Starr
Uoh-oh-oh-oh oh-oh uoh-oh-oh-oh-oh oh

[Strofa 2]
Tu eri Robin poi hai trovato me
Pensavi che fossi il tuo Batman ma ero solo il tuo Ted eh eh
E quando dico che spero che trovi un ragazzo migliore di me fingo
Che i migliori alla fine se ne vanno sempre e che cosa rimane? Ringo

[Pre-Ritornello]
Ma questa sera ho solo voglia di ballare
Di perdere la testa e non pensare più
Che la mia vita non è niente di speciale
E forse alla fine c'hai ragione tu

[Ritornello]
In un mondo di John e di Paul io sono Ringo Starr
In un mondo di John e di Paul io sono Ringo Starr
In un mondo di John e di Paul io sono Ringo Starr
Uoh-oh-oh-oh oh-oh uoh-oh-oh-oh-oh oh

[Bridge]
Ringo, Ringo, Ringo, Ringo
In un mondo di John e di Paul io sono Ringo Starr

[Pre-Ritornello]
Ma questa sera ho solo voglia di ballare
Di perdere la testa e non pensare più
Che la mia vita non è niente di speciale
Forse alla fine c'hai ragione tu (Perché)

[Ritornello]
In un mondo di John e di Paul io sono Ringo Starr (Ringo)
In un mondo di John e di Paul io sono Ringo Starr (Ringo)
In un mondo di John e di Paul io sono Ringo Starr (Ringo)
Uoh-oh-oh-oh oh-oh uoh-oh-oh-oh-oh oh",[],0,Pinguini Tattici Nucleari,1964,"[7, 5, 3, 1, 5, 6, 10, 28, 62]",9
7,7,"Dance, Dance, Dance","[Verse 1]
Having trouble telling how I feel
But I can dance, dance, dance
Couldn't possibly tell you how I mean
But I can dance, dance, dance

So when I trip on my feet, look at the beat
The words are written in the sand
When I'm shaking my hips, look for the swing
The words are written in the air

[Chorus]
Ooh dance, I was a dancer all along
Dance, dance, dance
Words can never make up for what you do

[Verse 2]
Easy conversations
There's no such thing
No, I'm shy, shy, shy
My hips they lie cause in reality
I'm shy, shy, shy

But when I trip on my feet, look at the ground
The words are written in the dust
When I'm shaking my hips, look for the swing
The words are written in the air

[Chorus x3]
Ooh dance, I was a dancer all along
Dance, dance, dance
Words could never make up for what you do

[Outro x10]
Dance, dance, dance (x10)","['have', 'trouble', 'tell', 'how', 'i', 'feel', 'but', 'i', 'can', 'dance', 'dance', 'dance', 'couldnt', 'possibly', 'tell', 'you', 'how', 'i', 'mean', 'but', 'i', 'can', 'dance', 'dance', 'dance', 'so', 'when', 'i', 'trip', 'on', 'my', 'feet', 'look', 'at', 'the', 'beat', 'the', 'word', 'be', 'write', 'in', 'the', 'sand', 'when', 'im', 'shake', 'my', 'hips', 'look', 'for', 'the', 'swing', 'the', 'word', 'be', 'write', 'in', 'the', 'air', 'ooh', 'dance', 'i', 'be', 'a', 'dancer', 'all', 'along', 'dance', 'dance', 'dance', 'word', 'can', 'never', 'make', 'up', 'for', 'what', 'you', 'do', 'easy', 'conversations', 'theres', 'no', 'such', 'thing', 'no', 'im', 'shy', 'shy', 'shy', 'my', 'hips', 'they', 'lie', 'cause', 'in', 'reality', 'im', 'shy', 'shy', 'shy', 'but', 'when', 'i', 'trip', 'on', 'my', 'feet', 'look', 'at', 'the', 'grind', 'the', 'word', 'be', 'write', 'in', 'the', 'dust', 'when', 'im', 'shake', 'my', 'hips', 'look', 'for', 'the', 'swing', 'the', 'word', 'be', 'write', 'in', 'the', 'air', 'ooh', 'dance', 'i', 'be', 'a', 'dancer', 'all', 'along', 'dance', 'dance', 'dance', 'word', 'could', 'never', 'make', 'up', 'for', 'what', 'you', 'do']",155,Lykke Li,1964,"[8, 8, 10, 13, 15, 29, 54, 79]",8
8,8,The Jerk,"The sand, your shoes, your point of view
Erase your face in a dumb cartoon
Well I saw The Jerk but that stuff don't work
So you say it used to
But can you say it with a please?

I wanna see what's going on
Over your shoulder but it all goes wrong
Don't say goodbye say you're not sure
Anything could ever come between the two of us
I would say the same thing

In the place with cakes and eight ball juice
Where I lost my place so I started over again
With some farmyard friends
Looked em dead in the eyes and said
I'm not like you

I wanna see what's going on
Over your shoulder but it all goes wrong
Don't say goodbye say you're not sure
Anything could ever come between the two of us
I would say the same thing

I wanna see what's going on
Over your shoulder but it all goes wrong
It all goes wrong","['the', 'sand', 'your', 'shoe', 'your', 'point', 'of', 'view', 'erase', 'your', 'face', 'in', 'a', 'dumb', 'cartoon', 'well', 'i', 'saw', 'the', 'jerk', 'but', 'that', 'stuff', 'dont', 'work', 'so', 'you', 'say', 'it', 'use', 'to', 'but', 'can', 'you', 'say', 'it', 'with', 'a', 'please', 'i', 'wanna', 'see', 'whats', 'go', 'on', 'over', 'your', 'shoulder', 'but', 'it', 'all', 'go', 'wrong', 'dont', 'say', 'goodbye', 'say', 'youre', 'not', 'sure', 'anything', 'could', 'ever', 'come', 'between', 'the', 'two', 'of', 'us', 'i', 'would', 'say', 'the', 'same', 'thing', 'in', 'the', 'place', 'with', 'cake', 'and', 'eight', 'ball', 'juice', 'where', 'i', 'lose', 'my', 'place', 'so', 'i', 'start', 'over', 'again', 'with', 'some', 'farmyard', 'friends', 'look', 'em', 'dead', 'in', 'the', 'eye', 'and', 'say', 'im', 'not', 'like', 'you', 'i', 'wanna', 'see', 'whats', 'go', 'on', 'over', 'your', 'shoulder', 'but', 'it', 'all', 'go', 'wrong', 'dont', 'say', 'goodbye', 'say', 'youre', 'not', 'sure', 'anything', 'could', 'ever', 'come', 'between', 'the', 'two', 'of', 'us', 'i', 'would', 'say', 'the', 'same', 'thing', 'i', 'wanna', 'see', 'whats', 'go', 'on', 'over', 'your', 'shoulder', 'but', 'it', 'all', 'go', 'wrong', 'it', 'all', 'go', 'wrong']",164,Joyce Manor,1964,"[9, 12, 21, 21, 26, 59, 73]",7
9,9,Time Is On My Side,"Time is on my side, yes, it is
Time is on my side, yes, it is
Now you were saying that you want to be free
But you'll come running back; you'll come running back
You'll come running back to me

Time is on my side, yes, it is
Time is on my side, yes, it is
You're searching for good times but just wait and see
You'll come running back; you'll come running back
You'll come running back to me

Go ahead, go ahead and light up the town!
Baby do everything your heart desires
Remember, I'll always be around
And I know like I told you so many times before
You're gonna come back, baby..
You're gonna come back knocking right on my door

Time is on my side, yes, it is
Time is on my side, yes, it is
'Cause I got the real love, the kind that you need
You'll come running back, you'll come running back
You'll come running back to me

Time, time, time is on my side, yes, it is
Time is on my side, yes, it is","['time', 'be', 'on', 'my', 'side', 'yes', 'it', 'be', 'time', 'be', 'on', 'my', 'side', 'yes', 'it', 'be', 'now', 'you', 'be', 'say', 'that', 'you', 'want', 'to', 'be', 'free', 'but', 'youll', 'come', 'run', 'back', 'youll', 'come', 'run', 'back', 'youll', 'come', 'run', 'back', 'to', 'me', 'time', 'be', 'on', 'my', 'side', 'yes', 'it', 'be', 'time', 'be', 'on', 'my', 'side', 'yes', 'it', 'be', 'youre', 'search', 'for', 'good', 'time', 'but', 'just', 'wait', 'and', 'see', 'youll', 'come', 'run', 'back', 'youll', 'come', 'run', 'back', 'youll', 'come', 'run', 'back', 'to', 'me', 'go', 'ahead', 'go', 'ahead', 'and', 'light', 'up', 'the', 'town', 'baby', 'do', 'everything', 'your', 'heart', 'desire', 'remember', 'ill', 'always', 'be', 'around', 'and', 'i', 'know', 'like', 'i', 'tell', 'you', 'so', 'many', 'time', 'before', 'youre', 'gonna', 'come', 'back', 'baby', 'youre', 'gonna', 'come', 'back', 'knock', 'right', 'on', 'my', 'door', 'time', 'be', 'on', 'my', 'side', 'yes', 'it', 'be', 'time', 'be', 'on', 'my', 'side', 'yes', 'it', 'be', 'cause', 'i', 'get', 'the', 'real', 'love', 'the', 'kind', 'that', 'you', 'need', 'youll', 'come', 'run', 'back', 'youll', 'come', 'run', 'back', 'youll', 'come', 'run', 'back', 'to', 'me', 'time', 'time', 'time', 'be', 'on', 'my', 'side', 'yes', 'it', 'be', 'time', 'be', 'on', 'my', 'side', 'yes', 'it', 'be']",185,Wilson Pickett,1964,"[10, 6, 6, 6, 8, 10, 18, 30, 46, 65, 80]",11
