,title,lyrics,artistsFromLyrics,artists,date,rank,cnt
21,Lucid Dreams,"[Chorus]
I still see your crosshairs in my zoom
Can't take back the kills that you gave me
It’s to the point where I love and I hate you
And I cannot buff you
So I must replace you (oh)
Easier said than done
I thought you were my guns
Listening to my heart instead of my head
I found a tactical
Double pump was magical
I will never forget you
[x2]

[Verse 1]
You took too long to switch up
Now I'm in my grave
You know that they want me dead
I take space crystals to make me fly far away
I know it's all in my head
I have double pump dreams where I can’t get a hit
Thinking of you when I die
You were my everything
Thinking of trippling
Now I'm just better off dead

[Verse 2]
I'd do it over again
I didn't want them to nerf it
Watch it throw me the game
I should've switched to the tac
Did it all in the past
But I want it to last
You were made out of glitches (fake)
I was tangled up in your drastic ways
Who knew broke guns had the best kill rate
You gave me a way that was full of mistakes
I gave you my time and you wasted it

[Bridge]
You made my aim break
You made my wins fake
You made my aim break
You made my wins fake
You made my aim break
You made my wins fake
You made my aim break again

[Chorus]
I still see your crosshairs in my zoom
Can't take back the kills that you gave me
It's to the point where I love and I hate you
And I cannot buff you
So I must replace you (oh)
Easier said than done
I thought you were my guns
Listening to my heart instead of my head
I found a tactical
Double pump was magical
I will never forget you
[x2]

[Post-Chorus]
(Did it all in the past
But I want it to last
You were made out of glitches (fake)
I was tangled up in your drastic ways
Who knew broke guns had the best kill rate)
(Easier said than done, I thought you were-)
(Listening to my heart instead of my head-)
(Tactical, double pump was magical-)
(Forget you)",Mikey,Juice WRLD,2018,"[23, 19, 13, 10, 5, 6, 5, 4, 3, 3, 2, 3, 2, 4, 5, 7, 6, 6, 6, 7, 7, 8, 6, 7, 16, 3, 4, 6, 9, 15, 35, 74]",32
22,Imagine,"[Verse 1]
Step up, the two of us, nobody knows us
Get in the car like, ""Skrrt""
Staying up all night, order me pad thai
Then we gon' sleep 'til noon
Me with no makeup, you in the bathtub
Bubbles and bubbly, ooh
This is a pleasure, feel like we never act this regular

[Pre-Chorus]
Click, click, click and post
Drip-drip-dripped in gold
Quick, quick, quick, let's go
Kiss me and take off your clothes

[Chorus]
Imagine a world like that
Imagine a world like that
We go like up 'til I'm 'sleep on your chest
Love how my face fits so good in your neck
Why can't you imagine a world like that?
Imagine a world

[Verse 2]
Knew you were perfect after the first kiss
Took a deep breath like, ""Ooh""
Feels like forever, baby, I never thought that it would be you
Tell me your secrets, all of the creep shit
That's how I know it's true
Baby, direct it, name in the credits
Like the movies do

[Pre-Chorus]
Click, click, click and post
Drip-drip-dripped in gold
Quick, quick, quick, let's go
Kiss me and take off your clothes

[Chorus]
Imagine a world like that
Imagine a world like that
We go like up 'til I'm 'sleep on your chest
Love how my face fits so good in your neck
Why can't you imagine a world like that?
Imagine a world

[Outro]
Can you imagine it?
Can you imagine it?
Can you imagine it?
Can you imagine it?
Can you imagine it? (Can you imagine?)
Can you imagine it? (Can you imagine?)
Can you imagine it? (Can you imagine?)
Ooh, imagine it (Can you imagine?)
Imagine it, imagine it
Imagine it, imagine it
Imagine, imagine
Imagine, imagine
Imagine, imagine",Ariana Grande,Ariana Grande,2018,[24],1
23,Taki Taki,"Music video Dj Khaled ft. Justin Bieber & Chris Brown - Everything (New song 2019) / Justin Bieber New songs 2019 and new album coming soon


🔔 Turn on the bell to be the first to listen to new music

Subscribe FREE for more music everyday and new songs from your favorite singers
📷Don't forget to Like & Share the music if you enjoy it
Thanks you for the support
• Subscribe = Support
Related videos
Justin Bieber New 2018
Justin Bieber New album 2018
Justin Bieber New song 2018
Justin Bieber New album 2018
Justin Bieber Live tour 2018
Mix Pop latino 2018
Mix Pop latino 2018
Latin music 2018
Pop Hit songs 2018
Reggaeton 2018
Trap 2018
Music trap 2018
Trap latino 2018
Reggeaton latino 2018
Latin music 2018
Maluma New song 2018
Maluma New album 2018
Maluma Nueva musica 2018
Maluma New music 2018
Music trend
Music Mix 2018
Chill out music
New popular songs 2018
Summer mix 2018
Tropical house Mix
Best Remixes of Popular Songs
Summer music 2018
Muic mix 2018
Music trending topic 2018",The Music,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2018,"[25, 25, 24, 22, 22, 15, 16, 16, 11, 16, 31, 27]",12
24,MIA,"[Intro: Sean Paul, Bad Bunny &  Drake]
Bless them
Ay, there ain't no second guess, then you done know so right now we carry di guess fi di gyal dem
Bad Bunny, Drake, SP
Bad Bunny, baby, bebé
Yeh-yeh-yeh-yeh
Yeah
Todos están pendiente a ti (Wuh)
Pero tú puesta pa' mí (Ajá)
Haciendo que me odien más (Yeh, yeh, yeh)

[Pre-Chorus: Drake, Sean Paul & Bad Bunny]
Porque todos te quieren probar (Ah; sí)
Lo que no saben es que no te dejas llevar de cualquiera
Y todos te quieren probar (Na')
Lo que no saben es que hoy yo te voy a buscar
(Me ah tell you; yeh, yeh)

[Chorus: Drake, Bad Bunny & Sean Paul]
Dile que tú eres mía, mía
Tú sabe' que eres mía, mía
Tú misma lo decías (Remember that)
Cuando yo te lo hacía (Okay!)
Yeh, dile que tú eres mía, mía
Tú sabe' que eres mía, mía
Tú misma lo decías (Girl, me ah tell you)
Cuando yo te lo hacía

[Verse 1: Bad Bunny, Sean Paul]
Yeh-yeh-yeh-yeh
Bebé, yo soy fan de tu caminar (Wuh)
Te doy todo lo mío, hasta mi respirar (Yeh)
Contigo veo todo como en espiral (Yo, yo, yo, yo)
Quiero tirarnos foto' y que se hagan viral
Girl, 'cause the sit'n weh you got, that is for me
When you see me you must fling it up give me don't timid
Anytime you want girl me will work with it
Cause me loving how you flip it and a dip it
Make we take it to the limit
Bebé, yo soy tuyo na' más (Na' más)
Diles que conmigo te vas (Wuh)
Que dejen de tirarte (¡Rrr!)
Que a ti nadie va a tocarte (Biri-bam-bam-bam)

[Chorus: Bad Bunny, Drake & Sean Paul]
Dile que tú eres mía, mía
Tú sabe' que eres mía, mía
Tú misma lo decías (Tú misma lo decía'; remember, girl)
Cuando yo te lo hacía (Cuando yo te lo hacía; eh!), yeh
Dile que tú eres mía, mía
Tú sabe' que eres mía, mía
Tú misma lo decías ('Member you said it)
Cuando yo te lo hacía (Cuando yo te lo hacía)

[Verse 2: Sean Paul, Bad Bunny, Drake]
Girl, 'cause I got the key to pull the lock
Just like a ship out at sea, me want to dock
Electric keely 20 to give the shock
So keep pressing it back, press it back on the rack girl
Yo soy tu Romeo, pero no Santo (¡No!)
A estos bobo', con la forty los espanto (¡Plo-plo!)
'Cause dem fool, dem nuh know how fi dweet
Baby girl, yuh know seh mi giving you the treat
Rapido, rapido, put it back, pon repeat
Baby girl, yuh know seh mi give yuh love sweet
Buss it up, up inna your belly whole heap
Make the volcano blaze, can you feel the heat?
Well Caliente, me a di Presidente
Give you excellente, yuh know mi will dweet (Yeah)
Spread out your legs when we under the sheet
Work of the century, keep it discreet, gyal

[Bridge: Sean Paul, Drake]
Dile que tú eres mía
Mad people thing they should know
It's the vibe, Dom da Bomb
Give it to di girl dem, all night long

[Verse 3: Bad Bunny]
Dile que tú eres mía desde la high (Desde la high; ¡yeh!)
El yerno favorito de tu ma'i (-to de tu ma'i)
El capo que tenía to' las Jordans y las Nike (-dans y las Nike)
Dile a estos bobos que dejen de darte like (De darte like)
Quiero otra noche entera
Pa' recordar los tiempos en la escalera (Escalera; yeh)
Dile que yo no soy cualquiera
Yo soy tu primero, tú eres mi primera

[Chorus: Drake,  Sean Paul & Bad Bunny]
Dile que tú eres mía, mía
Tú sabe' que eres mía, mía
Tú misma lo decías (Tú misma lo decía'; remember that)
Cuando yo te lo hacía (Cuando yo te lo hacía; okay)
Dile que tú eres mía, mía
Tú sabe' que eres mía, mía
Tú misma lo decías (Tú misma lo decía'; girl, me ah tell you)
Cuando yo te lo hacía (Cuando yo te lo hacía)",Bad Bunny & Drake,Bad Bunny Featuring Drake,2018,"[26, 26, 25, 19, 18, 19, 19, 15, 13, 5]",10
25,Last Christmas,"[Intro]
Ah, aha
Ooh, ohh
Ohh

[Chorus]
Last Christmas, I gave you my heart
But the very next day you gave it away
This year, to save me from tears
I'll give it to someone special
Last Christmas, I gave you my heart
But the very next day you gave it away (You gave it away)
This year, to save me from tears
I'll give it to someone special (Special)

[Verse 1]
Once bitten and twice shy
I keep my distance, but you still catch my eye
Tell me, baby, do you recognize me?
Well, it's been a year, it doesn't surprise me

[Verse 2]
(Happy Christmas) I wrapped it up and sent it
With a note saying, ""I love you"", I meant it
Now I know what a fool I've been
But if you kissed me now, I know you'd fool me again

[Chorus]
Last Christmas, I gave you my heart
But the very next day you gave it away (You gave it away)
This year, to save me from tears
I'll give it to someone special (Special)
Last Christmas, I gave you my heart
But the very next day you gave it away
This year, to save me from tears
I'll give it to someone special (Special, oh)
Oh, oh, baby

[Verse 3]
A crowded room, friends with tired eyes
I'm hiding from you and your soul of ice
My God, I thought you were someone to rely on
Me? I guess I was a shoulder to cry on

[Verse 4]
A face on a lover with a fire in his heart
A man under cover but you tore me apart
Ooh-hoo
Now I've found a real love, you'll never fool me again

[Chorus]
Last Christmas, I gave you my heart
But the very next day you gave it away (You gave it away)
This year, to save me from tears
I'll give it to someone special (Special)
Last Christmas, I gave you my heart (I gave you my heart)
But the very next day you gave it away (You gave me away)
This year, to save me from tears (Ohh)
I'll give it to someone special (Special)

[Outro]
A face on a lover with a fire in his heart (I gave you my heart)
A man under cover but you tore him apart
Maybe next year
I'll give it to someone, I'll give it to someone special
Special...
Someone...",Wham!,Wham!,2018,"[27, 31, 34, 43, 43]",5
26,Rudolph The Red-Nosed Reindeer,"You know Dasher, and Dancer, and Prancer, and Vixen
Comet, and Cupid, and Donner and Blitzen
But do you recall the most famous reindeer of all

Rudolph the red-nosed reindeer had a very shiny nose
And if you ever saw it, you would even say it glows
All of the other reindeer used to laugh and call him names
They never let poor Rudolph join in any reindeer games

Then one foggy Christmas Eve Santa came to say
""Rudolph with your nose so bright, won't you guide my sleigh tonight?""
Then how the reindeer loved him as they shouted out with glee
""Rudolph the red-nosed reindeer, you'll go down in history""

Rudolph the red-nosed reindeer had a very shiny nose
And if you ever saw it, you would even say it glows
All of the other reindeer used to laugh and call him names
They never let poor Rudolph join in any reindeer games

Then one foggy Christmas Eve Santa came to say
""Rudolph with your nose so bright, won't you guide my sleigh tonight?""
Then how the reindeer loved him as they shouted out with glee
""Rudolph the red-nosed reindeer, you'll go down in history""",Gene Autry,Gene Autry,2018,"[28, 27, 36]",3
27,Trip,"[Intro]
Ooh, yeah, yeah

[Verse 1]
I put my feelings on safety
So I don't go shootin' where your heart be
'Cause you take the bullet tryna save me
Then I'm left to deal with makin' you bleed

[Pre-Chorus]
And that's a whole lotta love, ain't tryna waste it
Like we be runnin' a mile to never make it
That's just too bitter for worse, don't wanna taste it
That's just too bitter for worse, don't wanna face it

[Chorus]
But I think that I'm done trippin', I'm trip-trippin'
I've been sippin', that's how I control
This feelin', you keep givin'
You keep on hittin' it, ooh, oh
Maybe it's your love, it's too good to be true
Baby boy, your love, got me trippin' on you
You know your love is big enough, make me trip up on you
Yeah, it's big enough, got me trippin' on you, trip-trippin' on you

[Post-Chorus]
My bad, my bad for, trippin' on you (Trippin' on you)
My bad, my bad for, trippin' on you (Trippin' on you)

[Verse 2]
Boy, you know we cool when I ain't waitin'
But I act a fool when I don't get it
And I'm steady bruisin' just to save this
But I tripped on your love, now I'm addicted

[Pre-Chorus]
And that's a whole lotta love, ain't tryna waste it
Like we be runnin' a mile to never make it
That's just too bitter for worse, don't wanna taste it
That's just too bitter for worse, don't wanna face it

[Chorus]
But I think that I'm done trippin', I'm trip-trippin'
I've been sippin', that's how I control
This feelin', you keep givin'
You keep on hittin' it, ooh, oh
Maybe it's your love, it's too good to be true
Baby boy, your love, got me trippin' on you
You know your love is big enough, make me trip up on you
Yeah, it's big enough, got me trippin' on you, trip-trippin' on you

[Post-Chorus]
My bad, my bad for, trippin' on you (Trippin' on you, trippin' on you)
My bad, my bad for, trippin' on you (Trippin' on you, trippin' on you)

[Bridge]
That's some kind of love, baby (Drip, drip)
That's the type of love, make me (Trip, trip, trippin' on you)
It's big enough, make me (Drip, drip)
It's big enough, got me (Trip, trip, trippin' on you)

[Chorus]
I'm done trippin', I'm trip-trippin'
I've been sippin', that's how I control
This feelin', you keep givin'
You keep on hittin' it, ooh, oh
Maybe it's your love, it's too good to be true
Baby boy, your love, got me trippin' on you
You know your love is big enough, make me trip up on you
Yeah, it's big enough, got me trippin' on you, trip-trippin' on you

[Post-Chorus]
My bad, my bad for, trippin' on you (My bad, my bad, my bad, trippin' on you, yeah)
My bad, my bad for, trippin' on you (Trippin' on you, trippin' on you, baby)
My bad, my bad for, trippin' on you (Trippin' on you)
Said I admit I was wrong when I did it
My bad, my bad, my bad for, trippin' on you (Trippin' on you, trippin' on you)

[Outro]
Trippin' on you, yeah, yeah
Ooh, yeah, yeah",Ella Mai,Ella Mai,2018,"[29, 23, 23, 16, 15, 18, 17, 17, 18, 11, 16, 20, 18, 21, 23, 32, 54, 67, 76, 79]",20
28,Money,"[Verse 1]
Look, my bitches all bad, my niggas all real
I ride on his dick in some big tall heels
Big fat checks, big large bills
Front, I'll flip like ten cartwheels
Cold ass bitch, I give broads chills
Ten different looks and my looks all kill
I kiss him in the mouth, I feel all grills
He eat in the car, that's meals on wheels (Woo)

[Chorus]
I was born to flex (Yes)
Diamonds on my neck
I like boardin' jets, I like mornin' sex (Woo)
But nothing in this world that I like more than checks (Money)
All I really wanna see is the (Money)
I don't really need the D, I need the (Money)
All a bad bitch need is the (Money flow)
I got bands in the coupe (Coupe)
Bustin' out the roof
I got bands in the coupe (Coupe)
Touch me, I'll shoot (Bow)
Shake a lil ass (Money)
Get a little bag and take it to the store (Store, money)
Get a little cash (Money)
Shake it real fast and get a little more (Money)
I got bands in the coupe (Coupe)
Bustin' out the roof
I got bands in the coupe (Brrr)
Bustin' out the roof (Cardi)

[Verse 2]
I gotta fly, I need a jet, shit
I need room for my legs
I got a baby, I need some money, yeah
I need cheese for my egg
All y'all bitches in trouble
Bring brass knuckles to the scuffle
I heard that Cardi went pop
Yeah, I did go pop (Pop)
That's me bustin' they bubble
I'm Dasani with the drip
Baby mommy with the clip
Walk out Follie's with a bitch
Bring a thottie to the whip
If she fine or she thick, goddamn
Walkin' past the mirror, ooh
Damn, I'm fine (Fine)
Let a bitch try me, boom (Boom)
Hammer time, uh

[Chorus]
I was born to flex (Yes)
Diamonds on my neck
I like boardin' jets, I like mornin' sex (Woo)
But nothing in this world that I like more than checks (Money)
All I really wanna see is the (Money)
I don't really need the D, I need the (Money)
All a bad bitch need is the (Money flow)
I got bands in the coupe (Coupe)
Bustin' out the roof
I got bands in the coupe (Coupe)
Touch me, I'll shoot (Bow)
Shake a lil ass (Money)
Get a little bag and take it to the store (Store, money)
Get a little cash (Money)
Shake it real fast and get a little more (Money)
I got bands in the coupe (Coupe)
Bustin' out the roof
I got bands in the coupe (Brrr)
Touch me, I'll shoot (Bow)

[Verse 3]
Bitch, I will pop on your pops (Your pops)
Bitch, I will pop on whoever (Brrr)
You know who pop the most shit? (Who?)
The people whose shit not together (Okay)
You'da bet Cardi a freak (Freak)
All my pajamas is leather (Uh)
Bitch, I will black on your ass (Yeah)
Wakanda forever
Sweet like a honey bun, spit like a Tommy gun
Rollie a one of one, come get your mommy some
Cardi at the tip-top, bitch
Kiss the ring and kick rocks, sis (Mwah)
Jump it down, back it up (Ooh, ayy)
Make that nigga put down 2K
I like my niggas dark like D'USSÉ
He gonna eat this ass like soufflé

[Chorus]
I was born to flex, diamonds on my neck
I like boardin' jets, I like mornin' sex
But nothing in this world that I like more than Kulture
(Kulture, Kulture, Kulture)
All I really wanna see is the (Money)
I don't really need the D, I need the (Money)
All a bad bitch need is the
K.K.C (Woo)

[Outro]
(Money)
Money
(Money)
(Money)
(Money)
(Money)
(Money)
(Money)",Cardi B,Cardi B,2018,"[30, 29, 28, 24, 21, 25, 24, 13, 54]",9
29,Leave Me Alone,"[Intro]
Yeah, yeah
Yeah, I miss you but I got no time for that (Damn, yeah)
Yeah, ayy, yeah, ayy (Young Forever)

[Verse 1]
Yeah, I miss you but I got no time for that
How could you? Wish you had never played me
Have no time for that (Damn)
Claiming you're my lady, got no time for that
How could you move it like you're crazy?
I ain't call you back (Damn)

[Chorus]
Leave me alone
Drunk as fuck
Bitch you dumb as fuck
Running up the bucks (D-damn, ayy)
Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Bitch, you done or what? (Yeah)
Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Running up the bucks (Damn, ayy)
Leave me alone
Yeah, yeah, yeah, yeah (Ayy)

[Verse 2]
Yeah, I miss you but I got no time for that
You was my lil' lady, drive me crazy
I was fine with that (Damn)
How you just gon' play me? I ain't fine with that
Thinking 'bout you daily
Smoking crazy while I'm off the tech (Damn)
Flexin', oh, we was flexing
Always had told you that you'd be a star
Goals in our checklist (Damn)
Question, oh, check your message
Knew that I couldn't fuck the bitch from the start
Or she was texting (Damn)
Demon, she cold (Yeah)
Leave and I'm gone (Yeah)
Fiendin', she on (Yeah)
Dreaming, we are (Yeah)
Drop is a coupe
Dropping the top of my car (Ayy)
I cannot love on no bitch when she fucking the clique
Man, she playing her part (Yeah, damn, ayy)
Life is a bitch, knew all that shit from the start (Ayy)
I told myself I walk up from that bitch and she leave all that shit in the dark (Like damn)

[Chorus]
Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Running up the bucks (Damn, ayy)
Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Bitch, you done or what? (Yeah)
Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Running up the bucks (Damn)
Leave me alone
Yeah, yeah, yeah, yeah

[Verse 3]
You can't play me, I'm just wavy
Sipping purple 'til I'm lazy
Like a throwback
Ayisyen, how you ain't know that?
Hit my bop like I'm Lil Kodak
On the block where it ain't good at
I can't sweat you, I'm like, ""Who that?""
I can't sweat you, I don't do that (Nah, nah, ayy)
Tell you the truth
I ain't want you to depart (Ayy)
I wanted you but I can't fuck with you
'Cause you different, you can't play your part (No, damn, ayy)
Tell you the truth
I wanted you from the start (Ayy)
I cannot fuck on no bitch
I can't love when the bitch is not playing her part (Like damn)

[Chorus]
Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Running up the bucks (Damn, ayy)
Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Bitch, you done or what? (Yeah)
Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Running up the bucks (Damn, ayy)
Leave me alone
Yeah, yeah, yeah, yeah",Flipp Dinero,Flipp Dinero,2018,"[31, 28, 32, 27, 28, 37, 41, 55, 53, 76, 94, 98, 81, 96]",14
30,"Let It Snow, Let It Snow, Let It Snow","Oh, the weather outside is frightful
But the fire is so delightful
And since we've no place to go
Let it snow, let it snow, let it snow

Man, it doesn't show signs of stopping
And I've brought me some corn for popping
The lights are turned way down low
Let it snow, let it snow

When we finally kiss goodnight
How I'll hate going out in the storm
But if you really hold me tight
All the way home I'll be warm

And the fire is slowly dying
And, my dear, we're still goodbying
But as long as you love me so
Let it snow, let it snow, and snow

When we finally kiss goodnight
How I'll hate going out in the storm
But if you really grab me tight
All the way home I'll be warm

Oh, the fire is slowly dying
And, my dear, we're still goodbying
But as long as you love me so
Let it snow, let it snow, let it snow",Dean Martin,Dean Martin,2018,"[32, 32, 41]",3
31,Sleigh Ride,"[Verse 1]
Just hear those sleigh bells jingling, ring tingle tingling too
(Ring-a-ling-a ding-dong-ding!)
Come on, it's lovely weather for a sleigh ride together with you
(Ring-a-ling-a ding-dong-ding!)
Outside the snow is falling and friends are calling ""Yoo hoo!""
(Ring-a-ling-a ding-dong-ding!)
Come on, it's lovely weather for a sleigh ride together with you
(Ring-a-ling-a ding-dong-ding!)
(Ring-a-ling-a ding-dong-ding!)
(Ring-a-ling-a ding-dong-ding!)
(Ring-a-ling-a ding-dong-ding!)

[Verse 2]
Our cheeks are nice and rosy and comfy and cozy are we
(Ring-a-ling-a ding-dong-ding!)
Were snuggled up together like two birds of a feather would be
(Ring-a-ling-a ding-dong-ding!)
Let's take the road before us and sing a chorus or two
(Ring-a-ling-a ding-dong-ding!)
Come on, it's lovely weather for a sleigh ride together with you
(Ring-a-ling-a ding-dong-ding!)
(Ring-a-ling-a ding-dong-ding!)
(Ring-a-ling-a ding-dong-ding!)
(Ring-a-ling-a ding-dong-ding!)

[Interlude]
(Ring-a-ling-a ding-dong-ding!)
(Ring-a-ling-a ding-dong-ding!)
(Ring-a-ling-a ding-dong-ding!)
(Ring-a-ling-a ding-dong-ding!)

[Verse 3]
Our cheeks are nice and rosy and comfy and cozy are we
(Ring-a-ling-a ding-dong-ding!)
Were snuggled up together like two birds of a feather would be
(Ring-a-ling-a ding-dong-ding!)
Let's take the road before us and sing a chorus or two
(Ring-a-ling-a ding-dong-ding!)
Come on, it's lovely weather for a sleigh ride together with you
(Ring-a-ling-a ding-dong-ding!)
(Ring-a-ling-a ding-dong-ding!)
(Ring-a-ling-a
Ding
Dong
Ding!)",The Ronettes,The Ronettes,2018,"[33, 41]",2
32,Feliz Navidad,"[Letra de ""Feliz Navidad""]

[Estribillo]
Feliz Navidad
Feliz Navidad
Feliz Navidad
Próspero año y felicidad
Feliz Navidad
Feliz Navidad
Feliz Navidad
Próspero año y felicidad

[Estribillo 2]
I wanna wish you a Merry Christmas
I wanna wish you a Merry Christmas
I wanna wish you a Merry Christmas
From the bottom of my heart
I wanna wish you a Merry Christmas
I wanna wish you a Merry Christmas
I wanna wish you a Merry Christmas
From the bottom of my heart

[Estribillo]
Feliz Navidad
Feliz Navidad
Feliz Navidad
Próspero año y felicidad
Feliz Navidad
Feliz Navidad
Feliz Navidad
Próspero año y felicidad

[Estribillo 2]
I wanna wish you a Merry Christmas
I wanna wish you a Merry Christmas
I wanna wish you a Merry Christmas
From the bottom of my heart
I wanna wish you a Merry Christmas
I wanna wish you a Merry Christmas
I wanna wish you a Merry Christmas
From the bottom of my heart

[Estribillo]
Feliz Navidad
Feliz Navidad
Feliz Navidad
Próspero año y felicidad
Feliz Navidad
Feliz Navidad
Feliz Navidad
Próspero año y felicidad

[Estribillo 2]
I wanna wish you a Merry Christmas
I wanna wish you a Merry Christmas
I wanna wish you a Merry Christmas
From the bottom of my heart
I wanna wish you a Merry Christmas
I wanna wish you a Merry Christmas
I wanna wish you a Merry Christmas
From the bottom of my heart

[Estribillo]
Feliz Navidad, ey, ey
Feliz Navidad
Feliz Navidad
Próspero año y felicidad",José Feliciano,Jose Feliciano,2018,"[34, 42, 49]",3
33,Here Comes Santa Claus (Right Down Santa Claus Lane),"Here comes Santa Claus
Here comes Santa Claus
Right down Santa Claus Lane
Vixen and Blitzen and all his reindeer
Pullin' on the reins
Bells are ringin', children singin'
All is merry and bright
So hang your stockings and say your prayers
'Cause Santa Claus comes tonight
Here comes Santa Claus
Here comes Santa Claus
Right down Santa Claus Lane
He's got a bag that's filled with toys
For boys and girls again
Hear those sleigh bells jingle jangle
Oh, what a beautiful sight
So jump in bed and cover your head
'Cause Santa Claus comes tonight
Here comes Santa Claus
Here comes Santa Claus
Right down Santa Claus Lane
He doesn't care if you're rich or poor
He loves you just the same
Santa Claus knows we're all Gods children
That makes everything right
So fill your hearts with Christmas cheer
'Cause Santa Claus comes tonight
Here comes Santa Claus
Here comes Santa Claus
Right down Santa Claus Lane
He'll come around when the chimes ring out
That it's Christmas morn again
Peace on earth will come to all
If we just follow the light
So let's give thanks to the Lord above
'Cause Santa Claus comes tonight
Here comes Santa Claus
Here comes Santa Claus
Right down Santa Claus Lane
Vixen and Blitzen and all his reindeer
Pullin' on the reins
Bells are ringin', children singin'
All is merry and bright
Hang your stockings and say your prayers
'Cause Santa Claus comes tonight",Gene Autry,Gene Autry,2018,"[35, 40]",2
34,Speechless,"[Verse 1]
You say you'll be down in five
The smell of your perfume is floating down the stairs
You're fixing up your hair like you do
I know that I'll be a mess
The second that I see you
You won't be surprised
It happens every time
It's nothin' new

[Pre-Chorus]
It's always on a night like tonight
I thank God you can read my mind
'Cause when you look at me with those eyes

[Chorus]
I'm speechless
Starin' at you standin' there in that dress
What it's doin' to me ain't a secret
'Cause watching you is all that I can do
And I'm speechless
You already know that you're my weakness
After all this time I'm just as nervous
Every time you walk into the room
I'm speechless

[Verse 2]
It started when you said hello
Just did something to me
And I've been in a daze
Ever since the day that we met
You take the breath out of my lungs
Can't even fight it
And all of the words, out of my mouth without even tryin'

[Chorus]
And I'm speechless
Starin' at you standin' there in that dress
What it's doin' to me ain't a secret
'Cause watching you is all that I can do
And I'm speechless
You already know that you're my weakness
After all this time I'm just as nervous
Every time you walk into the room
I'm speechless

[Bridge]
Yeah, baby, mmm
It's always on a night like tonight
I thank God you can read my mind
'Cause when you look at me with those eyes

[Chorus]
I'm speechless
You standin' there in that dress
Girl, it ain't a secret
'Cause watchin' you is all that I can do
Oh, I'm speechless
You already know that you're my weakness
After all this time I'm just as nervous
Every time you walk into the room
I'm speechless

[Outro]
Oh, you know it, baby
Mmm",Dan + Shay,Dan + Shay,2018,"[36, 34, 40, 38, 33, 38, 45, 50, 52, 63, 69, 82, 77, 87, 95]",15
35,Love Lies,"[Verse 1: Khalid]
Sorry if it's hard to catch my vibe, mmm
I need a lover to trust, tell me you're on my side
Are you down for the ride?
It's not easy for someone to catch my eye
But I've been waitin' for you for my whole damn life
For my whole lifetime

[Pre-Chorus: Khalid]
Don't be afraid to tell me if you ain't with it (You ain't with it)
I see you're focused, yeah you're so independent (Independent)
It's hard for me to open up, I'll admit it (I'll admit it)
You've got some shit to say and I'm here to listen

[Chorus: Khalid & Normani]
So baby, tell me where your love lies
Waste the day and spend the night
Underneath the sunrise
Show me where your love lies

[Verse 2: Normani]
I've been so into your mystery
Is it because of our history?
Are you into me?
When it feels so good, but it's bad for you
Can't say I don't want it 'cause I know I do
Come on over, I need your company
Cravin' that synergy

[Pre-Chorus: Normani]
Don't be afraid to tell me if you ain't with it (You ain't with it)
I see you're focused, yeah, you're so independent (Independent)
It's hard for me to open up, I'll admit it (I'll admit it)
You've got some shit to say and I'm here to listen

[Chorus: Khalid & Normani]
So baby, tell me where your love lies
Waste the day and spend the night
Underneath the sunrise
Show me where your love lies
Tell me where your love lies
Waste the day and spend the night
Underneath the sunrise
Show me where your love lies

[Bridge: Khalid & Normani / Khalid & Normani]
If you're down, don't hide it
Feelin' me, you don't gotta deny it
Baby you gon' make me overnight it
Tell me, are you down?
If you're down, don't hide it (Yeah)
Feelin' me, you don't gotta deny it (Yeah)
Baby you gon' make me overnight it
Tell me, are you down? (Tell me)

[Chorus: Khalid & Normani / Normani]
Tell me where your love lies (Tell me where your love lies)
Waste the day and spend the night (Waste the day, spend the night)
Underneath the sunrise (Underneath the sunrise)
Show me where your love lies (Tell me where your love lies)
Tell me where your love lies (Show me where your love lies)
Waste the day and spend the night (Yeah, yeah)
Underneath the sunrise (Ooh)
Show me where your love lies",Khalid & Normani,Khalid & Normani,2018,"[37, 30, 27, 20, 19, 20, 13, 12, 10, 14, 12, 16, 12, 11, 10, 11, 9, 11, 11, 15, 15, 18, 21, 25, 46, 37, 36, 34, 42, 35, 36, 47, 54, 63, 59, 54, 56, 56, 49, 53, 58, 66, 58, 43]",44
