,title,lyrics,artists,date,rank,cnt
0,Hello Goodbye,"[Verse 1: Erik Segerstedt]
Hello, goodbye, you were perfect
But now that the sun's coming out we're through
Your body and mine, empty bottles of wine
And the memories are chasing clues

Let's not make things complicated
We're better off seperated

[Chorus 1: Erik Segerstedt]
'Cause now we're sober, it's all over
Don't push your luck and ask if you could stay
There's nothing more I need, just go away
Just go away

[Verse 2: Tone Damli]
Hello, goodbye, you were perfect last night
But this bed isn't made for two
You said please stay the night, I could be mr. right
For a second that line felt true

Let's not make things complicated
We're better off seperated

[Chorus 2: Tone Damli]
'Cause now we're sober, it's all over
And nothing that you say will sound okay
I'll pack my things there ain't no other way
Now we're sober, don't come closer
Don't push your luck and ask if I could stay
There's nothing more I need, I'll go away

[Bridge: Both]
We could do this all again
We should enjoy it while we can
Call me whenever you feel alone
And I will take you home
But then you're on your own, 'cause

Hello goodbye, you were perfect
But now that the sun's coming out we're through

[Chorus 3: Both]
Now we're sober, it's all over
'Cause every now and then I need to play
With you the game gets better every day
Now we're sober, don't come closer
'Cause nothing that we say will sound okay
Hello, goodbye, we'll go out seperate ways
Our seperate ways",Tone Damli,1967,"[1, 3, 3, 8, 45]",5
1,I Heard It Through The Grapevine,"Ooh, I bet you're wond'rin' how I knew
Baby, baby, baby, 'bout your plans to make me blue (how)
With some other girl you knew before (ohhhhhh)
Between the two of us girls ya know I love you more
It took me by surprise I must say (ohhhhhh)
When I found out yesterday (ohhhhhh)

Don't ya know that I heard it through the grapevine (Oh, I heard it through the grapevine)
Not much longer would you be mine (Not much longer would you be mine)
Oh, don't ya know that I heard it through the grapevine (Oh, I heard it through the grapevine)
And I'm just about, just about, just about, to lose my mind
Oh yes, I am, Oh yes, I am, Oh yes, I am

Baby won't you listen to me

Boy take a good look at these tears of mine
Baby, baby these tears I can't hold inside
Losin' you would end my life you see (ohhhhhh)
Because you mean that much to me
You could've told me yourself (ohhhhhh)
That you love some body else (ohhhhhh)

Instead I heard it through the grapevine (Oh, I heard it through the grapevine)
Oh-h, not much longer you be mine (Not much longer would you be mine)
Oh, I heard it (heard), yes, I heard it (heard it through the grapevine)
Oh, just about, just about, just about, to lose my mind
Oh yes, I am, Oh yes, I am, Oh yes, I am

Go-o-o-o-o, go
Go, I gotta go
Go, go
You gotta let me go
Go, go, go
I gotta go whoa, whoa, whoa

Say believe half of what you see
Oh, ho, and none of what you hear
Baby, but I just can't help bein' confused
If it's true please baby, won't ya tell me dear
Oh-h-h, do you plan to let me go
For the other girl you loved before?
Don't ya know that I heard through the grapevine
Not much longer would you be mine
Don't ya know that I heard it, yes I heard it

Fade

From: ""Jamie's Mail""",Gladys Knight,1967,"[2, 2, 2, 5, 8, 16, 21, 27, 32, 54, 74]",11
2,Daydream Believer,"[Intro]
Chip: 7A
Davy: What number is this, Chip?
Other 3 Monkees: 7-A!
Davy: OK!, know what I mean, like don't get excited man. It's cause I'm short, I know

[Verse 1]
Oh, I could hide 'neath the wings
Of the bluebird as she sings
The six o'clock alarm would never ring
But it rings and I rise
Wipe the sleep out of my eyes
My shavin' razor's cold and it stings.

[Chorus]
Cheer up, sleepy Jean
Oh, what can it mean
To a daydream believer
And the homecoming queen

[Verse 2]
You once thought of me
As a white knight on his steed
Now you know how happy I can be
Oh, and our good times starts and end
Without dollar one to spend.
But how much, baby, do we really need

[Chorus]
Cheer up, sleepy Jean
Oh, what can it mean
To a daydream believer
And the homecoming queen

[Chorus]
Cheer up, sleepy Jean
Oh, what can it mean
To a daydream believer
And the homecoming queen

[Instrumental interlude]

[Chorus]
Cheer up, sleepy Jean
Oh, what can it mean
To a daydream believer
And the homecoming queen

[Chorus (Repeat and fade)]
Cheer up, sleepy Jean
Oh, what can it mean
To a daydream believer
And the homecoming queen",The Monkees,1967,"[3, 1, 1, 1, 1, 5, 33]",7
3,I Second That Emotion,"[Verse 1]
Maybe you want to give me kisses sweet
But only for one night with no repeat
And maybe you'd go away and never call
And a taste of honey is worse than none at all

[Hook]
Oh, little girl, in that case I don't want no part
That would only break my heart
Oh, but if you feel like loving me
If you got the notion
I second that emotion
Said, if you feel like giving me
A lifetime of devotion
I second that emotion

[Verse 2]
Maybe you think that love would tie you down
And you don't have the time to hang around
Maybe you think that love was made for fools
So it makes you wise to break the rules

[Hook]
Oh, little girl, in that case I don't want no part
That would only break my heart
Oh, but if you feel like loving me
If you got the notion
I second that emotion
Said, if you feel like giving me
A lifetime of devotion
I second that emotion
Oh, little girl, in that case I don't want no part
That would only break my heart
Oh, but if you feel like loving me
If you got the notion
I second that emotion
Said, if you feel like giving me
A lifetime of devotion
I second that emotion",Smokey Robinson and the Miracles,1967,"[4, 4, 4, 7, 11, 28, 43, 57, 85]",9
4,"Woman, Woman","[Verse 1]
Last night I fell apart
Broke from my swollen heart
Born in a simple time
Raised with a simple mind

[Pre-Chorus]
You, you, you may be a natural, woman
You may be a natural, woman
You, you may be a natural, woman
You may be a natural, woman

[Chorus]
I may be worthless without you
I'll never decide to replace you
Amen, the worst is behind us now
(Woman woman)
(Oh, oh, oh, oh-oh)
I may be worthless without you
I'll never decide to replace you
Amen, the worst is behind us now
(Woman woman)
(Woman)

[Pre-Chorus]
You, you, you may be a natural, woman
You may be a natural, woman
You, you may be a natural, woman
You may be a natural, woman

[Verse 2]
Last night I fell apart
Choked on my drunken heart

[Chorus]
I may be worthless without you
I'll never decide to replace you
Amen, the worst is behind us now
(Woman woman)
(Oh, oh, oh, oh-oh)
I may be worthless without you
I'll never decide to replace you
Amen, the worst is behind us now
(Woman woman)
(Woman)

[Bridge]
You, you, you may be a natural, woman
You may be a natural, woman
You are....
Who's that (woman woman)?
There's that (woman woman)
Be my (woman woman)
Won't you see me in the dark?
Who's that (woman woman)?
There's that (woman woman)
Be my (woman woman)
Won't you see me in the dark?

[Chorus]
I may be worthless without you
I'll never decide to replace you
Amen, the worst is behind us now
(Woman woman)
(Oh, oh, oh, oh-oh)
I may be worthless without you
I'll never decide to replace you
Amen, the worst is behind us now
(Woman woman)
(Woman woman)

[Outro]
You, you, you may be a natural, woman
You may be a natural, woman
You, you may be a natural, woman
You may be a natural, woman",AWOLNATION,1967,"[5, 5, 12, 22, 32, 59, 82]",7
5,Judy In Disguise (With Glasses),"{Intro}

Judy in disguise, well that's what you are
A  lemonade pie with your brand new car
Cantaloupe eyes come to me tonight
Judy in disguise, with glasses

Keep a-wearing your bracelets and your new Rara
And cross your heart, yeah, with your livin' bra
Chimney Sweep Sparrow with guise
Judy in disguise, with glasses

Come to me tonight
Come to me tonight
Taking everything in sight
Except for the strings on my kite

Judy in disguise, hey that's what you are
A lemonade pie, hey,  got your brand new car
So cantaloupe eyes come to me tonight
Judy in disguise, with glasses

{Bridge}

Come to me tonight
Come to me tonight
I'm taking everything in sight
Except for the strings of my kite

(Oh, Uh oh, Uhhh)

Judy in disguise, what you aiming for?
A circus of a-horrors, yeah yeah, well that's what you are
You made me a life of ashes
(slower) I guess I'll just take your glasses",John Fred & His Playboy Band,1967,"[6, 11, 27, 55, 74, 99]",6
6,Chain Of Fools,"[Chorus]
Chain, chain, chain
(Chain, chain, chain)
Chain, chain, chain
(Chain, chain, chain)
Chain, chain, chain
(Chain, chain, chain)
Chain of fools

[Verse 1]
For five long years
I thought you were my man
But I found out, love
I'm just a link in your chain
You got me where you want me
I ain't nothing but your fool
You treated me mean
Oh, you treated me cruel

[Chorus]
Chain, chain, chain
(Chain, chain, chain)
Chain of fools

[Verse 2]
Every chain
Has got a weak link
I might be weak, yeah
But I'll give you strength, oh, hey
You told me to leave you alone
My father said, ""come on home""
My doctor said, ""take it easy""
Oh, but your loving is much too strong

[Chorus]
I'm added to your chain, chain, chain
(Chain, chain, chain)
Chain, chain, chain
(Chain, chain, chain)
Chain, chain, chain
(Chain, chain, chain)
Your chain of fools

[Verse 3]
One of these mornings
The chain is gonna break
But up until the day
I'm gonna take all I can take, oh hey

[Chorus]
Chain, chain, chain
(Chain, chain, chain)
Chain, chain, chain
(Chain, chain, chain)
Chain, chain, chain
(Chain, chain, chain)
Your chain of fools, oh

[Outro]
Chain, chain, chain
(Chain, chain, chain) Oh
Chain, chain, chain
Your chain of fools, oh yeah",Aretha Franklin,1967,"[7, 17, 29, 66]",4
7,"Bend Me, Shape Me","You can bend me, shape me
Any way you wanna make me
But if you love me
Love me tonight
You are all the woman I need
Baby, you know it
You could make me do anything
I can't control it
I'd give you all that I own
You've got me standing in line
Out in the cold
With you on my mind

(Chorus)
(Well you can) Bend me, shape me
Any way you want me
As long as you love me it's all right
You can bend me, shape me
Any way you wanna make me
But if you love me
Love me tonight
Everybody tells me I'm wrong
To want you so badly
But there's a force driving me on
And I follow it gladly
So let 'em laugh, I don't care
'Cause we got nothin' to hide
It's a natural thing
To love me tonight

(Repeat Chorus 4 times)
Love me tonight",Bob Welch,1967,"[8, 13, 23, 41, 73]",5
8,Boogaloo Down Broadway,"Baby, oh baby
Boogaloo down Broadway
Baby, oh baby
Boogaloo down Broadway
Come on Sally, come on Sue
All day long we're gonna Boogaloo
But when the sweat begins to fill the air
We're gonna funky Broadway everywhere
Baby, oh baby
Boogaloo down Broadway
Baby, oh baby
Boogaloo down Broadway
Come on baby, it ain't hard to do
You've been doin' it ever since you were two
That's it baby now you've got de swing
Come on baby and shake that thing
Baby, oh baby
Boogaloo down Broadway
Baby, oh baby
Boogaloo down Broadway
Everybody in your town
Is gonna be boogaloo and Broadway bound
So get your partner, get in line
We're gonna have ourselves a heck of a time
Baby, oh baby, Boogaloo down Broadway (repeat and fade)",Fantastic Johnny C,1967,"[9, 7, 8, 13, 15, 20, 25, 30, 40, 50, 71, 83, 94]",13
9,Skinny Legs And All,"Unks:
'Moving out to you, now'
'Ah, I don't hear it'
'Hold it right there'
'I'm holding'

Spoken:

Say, man!
Don't walk ahead of that woman
Like she don't belong to you
Just 'cause her got them little skinny legs
You know that ain't no way to do

You didn't act like that when ya had it home
Behind closed do's!
Alright

Now, you act like you ashamed of the woman
Don't even want nobody to know she's yo's
But that's, alright
You just walk on, baby!
(hup, hup)
H'uh!
And don't you worry about a doggone thing, a'tol
(hup, hup)
Because there's some man, somewhere
Who'll take you
Baby, skinny legs and all

'I swear!'
Keep on walkin', baby
(Hup, hup)
Show ya what I'm talkin' about

Listen to this:

Now, who'll take the woman with the skinny legs?
(Try, Leroy)
Stand right there baby, I'm 'on give you away
In a minute

Come on, somebody please take the lady with
The skinny legs?
(I don't 'wan 'em!)

Now, ya'all know the lady with skinny legs
Got to have somebody too, now
(No, I don't wanna help that person!)

Will somebody, please take the lady with
The skinny legs, please?

(Ay, Joe!)
Yeah, Bobby
(Why don't you take her?)
She ain't no fool!
I don't want no woman with no skinny legs

Look here!

I thought about givin' this woman to Clyde
But, no
Say, I know the kind-a women Clyde like
Ol' Leroy'll take her
Say, LEROY!
You got her!

Say, Miss Sweetie
Now, why you wan' act like that man
Ain't yo's?
Just 'cause he's walkin' with you
With them raggedy clothes?
Man just forgot to get his suit outta the cleaners
That's all

Alright!
Alright!

Ya act like that man don't belong to ya
Go on over there and kiss 'em and
Hold his hand
Unk: 'Go over there and squeeze your man'
Unk man: 'I'd like to have her squeeze my hand'
Uh!
Say you ain't gon' do what?
Unk: 'I likes it'
(Unk man w/woman-like voice) 'I say later, ho'
'That's alright
You just walk on, mister!
(Thank you, you're welcome!)

And don't you worry about a doggone thing a'tol
(Hup, Hup)
Because there's some woman
Somewhere, who'll take you
Mr. Raggedy Clothes and all

Yes they will
Just keep on walkin'
(Hup, Hup)

H'uh!

(Hup, Hup)

H'uh!

(Hup, Hup)

Don't be ashamed a-what you got

(Hup, Hup)
(Hup, Hup)

Just sayin', what girl's that you dropped wouldn't tell you",Joe Tex,1967,"[10, 15, 15, 20, 26, 34, 45, 58, 69, 93]",10
