,title,lyrics,artists,date,rank,cnt
0,Another Day In Paradise,"[Verse 1]
Her body's gold like September
She burns through the night like an ember
And all those things we tried forgetting i remember
But we say we all fine we all fine
Sunny day dreams and we up now
Vodka lemonade I serve it up it goes down
75 degrees and a dope sound
All you need to live fine to live fine
A little sunshine cause she need it
A dose of rainfall in the evening
The waves crash down and we feel them
Say here’s to the nights we steal them
And I be running cause I figured out
The more I slow down the less I get out
And if we fall lets be strong now
Moving along we don’t mind we don’t mind

[Chorus]
All the good, comes in waves
I bide my time by the ocean
And at night, I’m awake
To feel the wake of your motion
And I want something that’s feeling alright
Loose cannon but still it won’t fire
No need to leave, spend our whole lives
Another day in paradise

[Verse 2]
I be gone till November
Going through the letters that I send her
And think about the moment that I met her
Well I’ll be back in due time in due time
Touchdown throw off my own two shoes
Still the same city I be used to
And all the reckless things that we do
Keep us young, they're good signs they're good signs
Take a little more if you need it
Voices of the night won’t mislead it
The tide pulls me in but it takes slow
Here’s to the nights we let go
And I’m hoping that they figure out
It’s all about the scenery along the route
No fears and no problems
These moments are so kind, they're so kind

[Chorus]
All the good, comes in waves
I bide my time by the ocean
And at night, I’m awake
To feel the wake of your motion
And I want something that’s feeling alright
Loose cannon but still it won’t fight
No need to leave, spend the whole night
Another day in paradise

[Bridge]
I don’t need what I’ve sowed
I just need something good
And I know when we’re old
We’ll look back and say “some
Mistakes we made, they made us who we are
These games we played they got us really far""
That shit to most won’t ever mean a thing
But it got us here, so I hold on

[Chorus]
All the good, comes in waves
I bide my time by the ocean
And at night, I’m awake
To feel the wake of your motion
And I want something that’s feeling alright
Loose cannon but still it won’t fight
No need to leave, spend the whole night
Another day in paradise",Quinn XCII,1989,"[1, 1, 2, 2, 6, 10, 22, 33, 43]",9
1,Don't Know Much,"[Verse 1 : Aaron Neville]
Look at this face
I know the years are showing
Look at this life
I still don't know where it's going

[Chorus: Aaron Neville]
I don't know much
But I know I love you
And that may be all I need to know

[Verse 2: Linda Ronstadt]
Look at these eyes
They never seen what matters
Look at these
Dreams so beaten and so battered

[Chorus: Aaron Neville & Linda Ronstadt]
I don't know much
But I know I love you
And that may be all I need to know

[Verse 3: Aaron Neville & Linda Ronstadt]
So many questions still left unanswered
So much I've never broken through
And when I feel you near me, sometimes I see so clearly
That only truth I'll never know is me and you

[Verse 4: Aaron Neville & Linda Ronstadt]
Look at this man
So blessed with inspiration
Look at this soul
Still searching for salvation

[Chorus: Aaron Neville & Linda Ronstadt]
I don't know much
But I know I love you
And that may be
All I need to know

[Musical Interlude]

[Chorus: Aaron Neville & Linda Ronstadt]
I don't know much
But I know I love you
And that may be
All I need to know

[Outro: Aaron Neville & Linda Ronstadt]
I don't know much
But I know I love you
And that may be all there is to know",Linda Ronstadt,1989,"[2, 2, 3, 5, 8, 9, 12, 18, 27, 35, 42, 53, 58, 72]",14
2,We Didn't Start The Fire,"[Verse 1]
Harry Truman, Doris Day, Red China, Johnnie Ray
South Pacific, Walter Winchell, Joe DiMaggio
Joe McCarthy, Richard Nixon, Studebaker, Television
North Korea, South Korea, Marilyn Monroe
Rosenbergs, H-Bomb, Sugar Ray, Panmunjom
Brando, The King And I, and The Catcher In The Rye,
Eisenhower, Vaccine, England's got a new queen
Marciano, Liberace, Santayana goodbye

[Chorus]
We didn't start the fire
It was always burning since the world's been turning
We didn't start the fire
No, we didn't light it, but we tried to fight it

[Verse 2]
Joseph Stalin, Malenkov, Nasser and Prokofiev
Rockefeller, Campanella, Communist Bloc
Roy Cohn, Juan Peron, Toscanini, Dacron
Dien Bien Phu Falls, ""Rock Around the Clock""
Einstein, James Dean, Brooklyn's got a winning team
Davy Crockett, Peter Pan, Elvis Presley, Disneyland
Bardot, Budapest, Alabama, Khrushchev
Princess Grace, Peyton Place, Trouble in the Suez

[Chorus]
We didn't start the fire
It was always burning since the world's been turning
We didn't start the fire
No, we didn't light it, but we tried to fight it

[Verse 3]
Little Rock, Pasternak, Mickey Mantle, Kerouac
Sputnik, Zhou En-lai, Bridge On The River Kwai,
Lebanon, Charles de Gaulle, California baseball
Starkweather Homicide, Children of Thalidomide
Buddy Holly, Ben-Hur, Space Monkey, Mafia
Hula Hoops, Castro, Edsel is a no-go
U-2, Syngman Rhee, payola and Kennedy
Chubby Checker, Psycho, Belgians in the Congo

[Chorus]
We didn't start the fire
It was always burning since the world's been turning
We didn't start the fire
No, we didn't light it, but we tried to fight it

[Verse 4]
Hemingway, Eichmann, Stranger in a Strange Land,
Dylan, Berlin, Bay of Pigs invasion
Lawrence of Arabia, British Beatlemania
Ole Miss, John Glenn, Liston beats Patterson
Pope Paul, Malcolm X, British Politician sex
J.F.K. blown away, what else do I have to say?

[Chorus]
We didn't start the fire
It was always burning since the world's been turning
We didn't start the fire
No, we didn't light it, but we tried to fight it

[Verse 5]
Birth control, Ho Chi Minh, Richard Nixon back again
Moonshot, Woodstock, Watergate, punk rock
Begin, Reagan, Palestine, Terror on the airline
Ayatollah's in Iran, Russians in Afghanistan
Wheel of Fortune, Sally Ride, heavy metal suicide
Foreign debts, homeless Vets, AIDS, crack, Bernie Goetz
Hypodermics on the shores, China's under martial law
Rock and Roller cola wars, I can't take it anymore

[Chorus]
We didn't start the fire
It was always burning since the world's been turning
We didn't start the fire
But when we are gone
It will still burn on, and on, and on, and on...
We didn't start the fire
It was always burning since the world's been turning
We didn't start the fire
No, we didn't light it, but we tried to fight it
We didn't start the fire
It was always burning since the world's been turning
We didn't start the fire
No, we didn't light it, but we tried to fight it
We didn't start the fire
It was always burning since the world's been turning
We didn't start the fire
No, we didn't light it, but we tried to fight it
We didn't start the fire
It was always burning since the world's been turning",Billy Joel,1989,"[3, 3, 1, 1, 2, 5, 6, 13, 21, 28, 40, 58]",12
3,Rhythm Nation,"[Intro]
Yeah yeah yeah yeah, yeah yeah yeah
Bass bass, bass, bass
Nasty
Three

[Verse 1]
With music by our side to break the color lines
Let's work together to improve our way of life
Join voices in protest to social injustice
A generation full of courage, come forth with me

[Chorus]
People of the world today
Are we looking for a better way of life?
Sing!
We are a part of the rhythm nation
People of the world unite
Strength in numbers, we can get it right, one time
We are a part of the rhythm nation

[Verse 2]
This is the test, no struggle, no progress (Lend)
Lend a hand to help your brother do his best
Things are getting worse, we have to make them better
It's time to give a damn, let's work together
Come on now

[Chorus]
People of the world today
Are we looking for a better way of life?
We are a part of the rhythm nation
People of the world unite
Strength in numbers, we can get it right, one time
We are a part of the rhythm nation
Everybody
People of the world today
Are we looking for a better way of life?
We are a part of the rhythm nation
People of the world unite
Strength in numbers, we can get it right, one time
We are a part of the rhythm nation

[Interlude]
Bass, bass, bass...

[Bridge]
We
Sing it people
Are
Say it children
Sing it if you want a better way of life
We
Sing it people
Are
Sing it children
Sing it if you want a better way of life

[Interlude]
Bass, bass, bass...

[Chorus]
Everybody sing
People of the world today
Are we looking for a better way of life?
Sing!
We are a part of the rhythm nation
People of the world unite
Strength in numbers, we can get it right, one time
We are a part of the rhythm nation
People of the world today
Are we looking for a better way of life?
Sing!
We are a part of the rhythm nation
People of the world unite
Strength in numbers, we can get it right, one time
We are a part of the rhythm nation",Janet Jackson,1989,"[4, 4, 8, 13, 17, 22, 34, 49]",8
4,With Every Beat Of My Heart,"I keep getting closer
To the love I know
I'm ready and willing
Getting out of control
You win and you lose some
But if you stay in the game
Before you know it
You'll feel the fire
But don't get burned by the flame
You'll find the answer any day
With every beat of my heart
I keep getting closer to you
With every beat of my heart now
I know we're getting closer
To love with every beat
I just wanna know you
More every day
And now it won't be long
Till I hear you say (say it, say it)
Say that you do boy
It's just a matter of time
Before you know it
You'll feel the fire
And it's burning deep inside
You'll find the answer
In his eyes
With every beat of my heart
I keep getting closer to you
With every beat of my heart now
I know we're getting closer to love
With every beat of my heart
I feel you moving closer to me, oh
With every beat of my heart
Baby I know it's becoming reality
With every beat",Taylor Dayne,1989,"[5, 5, 5, 8, 11, 13, 20, 29, 35, 46, 61]",11
5,Back To Life,"[Intro]
Ooh, ooh
Ooh, ooh
Ooh, ooh
Ooh, ooh

[Verse 1]
I'm breathing in, and breaking down
I feel my time is running out
The fire in my heart will burn me to the ground
I did my part, I tried my best
The things I'm fighting to protect
Always shatter into pieces in the end, oh

[Chorus 1]
I'm broken and I'm barely breathing
I'm falling 'cause my heart stopped beating
If this is how it all goes down tonight
If this is how you bring me back to life
Whoa, whoa
This is what it's like when we collide
Whoa, whoa
If this is how you bring me back to life

[Verse 2]
I'm pumpin' blood, I'm runnin' dry
My heart's been beating overtime
To help this broken body live another night
Battle cry, is the damage done?
Who has lost and who has won?
Who will be there when my life's support is gone? Oh

[Chorus 1]
I'm broken and I'm barely breathing
I'm falling 'cause my heart stopped beating
If this is how it all goes down tonight
If this is how you bring me back to life
Whoa, whoa
This is what it's like when we collide
Whoa, whoa
If this is how you bring me back to life

[Bridge]
Barely breathing
Lost all feeling
I'm barely breathing
Still holding on

[Chorus]
I'm broken and I'm barely breathing
I'm falling 'cause my heart stopped beating
If this is how it all goes down tonight
If this is how you bring me back to life

[Chorus]
I'm broken and I'm barely breathing (whoa, whoa)
I'm falling 'cause my heart stopped beating
If this is how it all goes down tonight (whoa, whoa)
If this is how you bring me back to life
I'm broken and I'm barely breathing (whoa, whoa)
I'm falling 'cause my heart stopped beating
This is what it's like when we collide (whoa, whoa)
This is how you bring me back to life",Extreme Music,1989,"[6, 6, 4, 6, 7, 8, 10, 16, 20, 25, 28, 38, 45, 52, 70]",15
6,Pump Up The Jam,"Uhh... Uhh

Pump up the jam
Pump it up
While your feet are stompin'
And the jam is pumpin'
Look at here the crowd is jumpin'
Pump it up a little more
Get the party going on the dance floor
Seek us that's where the party's at
And you'll find out if you're too bad

Ooh,ayyyh, a place to stay
Get your boody on the floor tonight
Make my day
Ooh,ayyyh, a place to stay
Get your boody on the floor tonight
Make my day
Make my day
Make my day
Make my, Make my, make
Make my day
Make my day
Make my day
Make my, Make my, make...

Pump up the jam
Pump it up
While your feet are stompin'
And the jam is pumpin'
Look at here the crowd is jumpin'
Pump it up a little more
Get the party going on the dance floor
Seek us that's where the party's at
And you'll find out if you're too bad

Ooh,ayyyh, a place to stay
Get your boody on the floor tonight
Make my day
Ooh, ayyh, a place to stay
Get your boody on the floor tonight
Make my day (Make my day)
Make my day (Make my day)
Make my day (Make my day)
Make my, Make my, make
Make my day (Make my day)
Make my day (Make my day)
Make my day (Make my day)
Make my, Make my, make...",The Lost Fingers,1989,"[7, 7, 7, 10, 16, 19, 25, 37, 47, 58, 81, 86]",12
7,Just Like Jesse James,"[Verse 1]
Struttin' into town like you're slingin' a gun
Just a small town dude with a big city attitude
Honey are you lookin' for some trouble tonight? Well, alright
You think you're so bad, drive the women folk wild
Shoot 'em all down with the flash of your pearly smile
Honey but you met your match tonight, oh, that's right
You think you'll knock me off my feet 'till I'm flat on the floor
'Till my heart is crying indian and I'm beggin' for more
So come on, baby, come on, baby
Come on, baby, show me what that loaded gun is for

[Chorus]
If you can give it, I can take it
'Cause if this heart is gonna break
It's gonna take a lot to break it
'Cause I know tonight
Somebody's gonna win the fight
So if you're so tough
Come on and prove it
Your heart is down for the count
And you know you're gonna lose it
Tonight you're gonna go down in flames
Just like Jesse James

[Verse 2]
You're an outlaw lover and I'm after your hide
Well, you ain't so strong
Won't be long 'till your hands are tied
Tonight I'm gonna take you in dead or alive, that's right
You break the laws of love in the name of desire
Take ten steps back, c'ause I'm ready, baby, aim and fire
Baby, there's no way you're gonna run tonight
Ooh, that's right
Well, you've had your way with love
But it's the end of the day
Now a team of wild horses couldn't break your heart away
So come on, baby, come on, baby
Come on, baby, you know there ain't nothing left to say

[Chorus]
If you can give it, I can take it
'Cause if this heart is gonna break
It's gonna take a lot to break it
I know tonight
Somebody's gonna win the fight
So if you're so tough
Come on and prove it
Your heart is down for the count
And you know you're gonna lose it
Tonight you're gonna go down in flames
Just like Jesse James

[Bridge]
You think you'll knock me off my feet
'Til I'm flat on the floor
'Til my heart is crying indian and I'm beggin' for more
So come on, baby, come on, baby
Come on, baby, come on

[Chorus]
If you can give it, I can take it
'Cause if this heart is gonna break
It's gonna take a lot to break it
I know tonight
Somebody's gonna win the fight
So if you're so tough
Come on and prove it
Your heart is down for the count
And you know you're gonna lose it
Tonight you're gonna go down in flames
Just like Jesse James
Tonight you're gonna go down in flames
Just like Jesse James
Tonight you're gonna go down in flames
Just like Jesse James
I'm gonna shoot you down, Jesse James",Cher,1989,"[8, 8, 10, 17, 19, 26, 35, 42, 51, 61, 90]",11
8,This One's For The Children,"This is a very serious message
So all of you please listen

There are some people living in this world
They have no food to eat
They have no place to go
But we all are God's children

We've got to learn to love one another
Just remember
They could be us
Remember, we all are brothers

I'm not trying to darken up your day
But help others in need
And show them there's a better way

This one's for the children
The children of the world
This one's for the children
May God keep them in His throne

Many people are happy
And many people are sad
Some people have many things
That others can only wish they had

So for the sake of the children
Show them love's the only way to go
'Cause they are tomorrow
And people, they've got to know

I'm not trying to darken up your day
But help others in need
And show them there's a better way

This one's for the children
The children of the world
This one's for the children
May God keep them in His throne

This one's for the children
The children of the world
This one's for the children
May God keep them in His throne",New Kids on the Block,1989,"[9, 9, 13, 22, 28, 37, 49, 82]",8
9,Living In Sin,"[Verse 1]
I don't need no license
To sign on no line
And I don't need no preacher
To tell me you're mine
I don't need no diamonds
I don't need no new bride
I just need you, baby
To look me in the eye
I know they have a hand time
And your Daddy don't approve
But I don't need your Daddy
Telling us what we should do
Now there's a million questions
I could ask about our lives
But I only need one answer
To get me through the night

[Chorus]
So baby, can you tell me just where we fit in
I call it love they call it living in sin
Is it you and me or just this world we live in
I say we're living on love they say we're living in sin

[Verse 2]
Is it right for both our parents
Who fight it out most nights
Then pray for God's forgiveness
When they both turn out the lights
Or wear that ring of diamonds
When your heart is made of stone
You can talk but still say nothing
You stay together but alone
Or is it right to hold you
And kiss your lips goodnight
They say the promise is forever
If you sign it on the dotted line

[Chorus][x2]

[Outro]
I call it love they call it living in sin
Living in sin
I don't know where to begin
I don't know where we fit in
Living in sin",Bon Jovi,1989,"[10, 10, 9, 14, 15, 16, 21, 26, 32, 39, 47, 61, 72]",13
